FID,daolu,duanlie,jianghe,jiangshui,ndvi,podu,poxiang,tudi,yantu,landslide
0,2,2,5,4,1,5,2,4,9,1
1,2,2,2,4,4,6,7,5,2,1
2,2,2,2,4,1,7,7,5,2,1
3,2,1,5,4,4,4,6,4,6,1
4,3,1,5,4,3,4,6,1,7,1
5,2,1,5,4,2,4,5,1,6,1
6,1,2,1,4,1,6,7,5,2,1
7,1,2,2,4,1,3,7,5,2,1
8,1,2,1,4,1,2,7,5,2,1
9,4,1,5,4,2,4,9,2,6,1
10,3,1,5,4,1,2,7,5,9,1
11,2,4,1,4,2,8,9,5,2,1
12,5,5,5,4,1,8,6,5,2,1
13,3,3,5,4,1,2,7,5,9,1
14,5,5,5,4,1,8,5,2,6,1
15,5,1,5,4,1,8,5,5,6,1
16,5,1,4,4,2,7,5,4,6,1
17,5,1,3,4,2,7,5,5,6,1
18,2,3,5,4,1,4,7,5,2,1
19,2,3,5,4,1,3,3,5,5,1
20,3,2,5,4,1,3,7,5,2,1
21,2,1,2,4,2,7,7,5,6,1
22,2,1,2,4,3,7,7,5,6,1
23,4,2,5,4,3,4,3,2,9,1
24,3,1,5,4,2,2,4,7,3,1
25,2,1,5,4,2,2,4,7,3,1
26,3,3,2,4,4,4,4,4,2,1
27,5,3,5,4,1,6,4,4,9,1
28,5,3,5,4,2,5,4,4,9,1
29,5,3,5,4,2,3,5,7,5,1
30,5,1,5,4,2,5,4,4,2,1
31,2,5,2,4,2,4,5,5,2,1
32,2,3,2,4,2,6,6,5,2,1
33,2,3,2,4,2,5,6,5,2,1
34,2,1,1,2,1,1,4,4,7,1
35,2,1,1,2,1,3,8,4,7,1
36,2,3,4,4,2,5,8,5,6,1
37,5,5,5,4,5,4,6,4,7,1
38,5,1,5,4,3,3,3,5,7,1
39,5,1,5,4,3,4,5,5,7,1
40,5,5,3,4,1,8,5,2,2,1
41,5,1,5,2,2,5,4,4,7,1
42,2,5,1,2,1,5,6,5,7,1
43,2,5,1,2,1,4,5,5,7,1
44,2,5,1,2,1,7,6,5,7,1
45,2,3,1,2,1,3,6,5,7,1
46,2,1,1,2,1,1,1,4,7,1
47,2,1,3,2,1,7,7,5,2,1
48,2,1,3,2,1,5,7,5,2,1
49,3,1,4,3,1,6,6,5,2,1
50,2,1,1,2,4,7,5,4,6,1
51,2,1,3,3,1,7,6,5,2,1
52,2,1,1,2,2,7,5,5,7,1
53,3,1,3,3,2,8,5,5,2,1
54,2,1,1,2,1,5,9,2,3,1
55,2,1,1,2,1,5,9,2,3,1
56,2,3,1,2,2,7,8,5,6,1
57,2,1,5,2,1,3,9,5,2,1
58,2,1,5,2,1,4,8,5,2,1
59,2,1,5,2,2,4,4,5,2,1
60,5,4,5,3,1,3,7,2,2,1
61,5,4,5,3,1,3,6,2,2,1
62,3,1,4,2,2,6,8,2,3,1
63,3,1,5,2,1,6,8,4,2,1
64,2,1,2,2,2,3,5,1,2,1
65,1,1,1,3,4,8,4,4,2,1
66,1,1,1,3,3,8,3,4,2,1
67,2,1,4,2,1,8,5,2,2,1
68,2,3,1,3,2,5,8,4,7,1
69,5,1,5,2,1,5,7,2,2,1
70,2,1,1,3,1,7,2,5,2,1
71,2,1,2,3,1,6,2,5,2,1
72,1,5,2,3,3,3,2,4,2,1
73,1,4,2,3,5,5,4,1,2,1
74,1,4,2,3,2,3,4,1,2,1
75,2,5,3,3,2,6,8,1,2,1
76,4,1,3,3,3,6,5,5,9,1
77,2,1,1,3,1,7,6,4,2,1
78,5,5,5,3,4,6,4,4,7,1
79,5,1,5,3,2,4,6,4,2,1
80,2,4,5,3,2,5,6,4,2,1
81,3,1,2,3,4,8,7,2,2,1
82,3,1,2,3,1,8,7,2,2,1
83,2,1,1,3,1,8,7,2,2,1
84,5,3,5,3,2,3,3,3,7,1
85,5,1,4,3,3,5,5,5,9,1
86,2,1,3,3,1,1,4,3,1,1
87,2,1,4,3,2,4,3,5,3,1
88,1,3,5,4,3,4,6,4,7,1
89,1,5,5,4,3,3,6,4,7,1
90,1,4,5,4,1,3,6,5,9,1
91,1,4,5,4,1,4,6,5,9,1
92,1,5,5,4,2,5,7,7,9,1
93,1,5,1,4,2,8,2,5,2,1
94,1,2,5,4,5,4,6,4,2,1
95,1,4,5,4,1,6,6,2,9,1
96,1,1,3,4,1,4,5,5,6,1
97,1,1,2,4,1,7,6,5,6,1
98,1,3,5,4,1,4,6,2,2,1
99,1,2,5,4,1,4,7,2,2,1
100,1,2,5,4,1,5,5,2,2,1
101,1,3,5,4,3,2,5,4,2,1
102,1,3,5,4,3,3,4,4,2,1
103,1,3,5,4,2,7,6,1,5,1
104,1,3,5,4,2,7,5,5,5,1
105,1,4,5,4,2,3,7,5,2,1
106,1,5,2,4,2,7,6,5,2,1
107,1,5,2,4,3,7,6,5,2,1
108,1,4,4,4,2,5,4,5,6,1
109,1,3,3,4,2,5,8,5,6,1
110,1,2,2,4,2,4,6,5,2,1
111,1,2,1,4,2,5,6,5,9,1
112,1,2,1,4,2,4,6,5,9,1
113,1,4,2,2,2,4,6,1,7,1
114,1,3,1,2,1,7,6,5,7,1
115,1,3,1,2,1,6,5,5,7,1
116,1,1,2,2,2,5,6,7,6,1
117,1,1,1,2,2,4,5,5,6,1
118,1,1,5,4,1,4,7,2,2,1
119,1,1,5,4,2,4,7,2,2,1
120,1,1,5,4,1,4,7,4,2,1
121,1,1,1,4,1,1,4,5,5,1
122,1,1,1,4,1,3,4,5,5,1
123,1,1,1,4,3,1,8,4,5,1
124,1,1,1,4,2,1,8,5,5,1
125,1,1,5,4,2,5,6,5,7,1
126,1,1,5,4,2,3,5,5,3,1
127,1,1,5,2,2,3,5,4,9,1
128,1,1,5,4,3,6,6,5,7,1
129,1,1,5,4,2,7,5,1,3,1
130,1,1,2,2,2,5,4,4,9,1
131,1,1,2,2,3,7,5,5,7,1
132,1,1,1,4,1,5,6,5,2,1
133,1,1,1,2,1,5,4,5,2,1
134,1,2,1,2,1,7,7,5,3,1
135,1,5,1,2,2,5,6,5,6,1
136,1,5,1,2,3,5,6,5,6,1
137,1,1,1,3,2,5,6,5,2,1
138,1,1,1,3,2,7,3,5,2,1
139,1,1,5,3,4,4,7,4,2,1
140,1,1,4,2,1,5,5,2,9,1
141,1,1,3,2,1,4,8,5,2,1
142,1,1,3,2,2,6,7,1,7,1
143,1,1,3,2,2,3,7,1,9,1
144,1,1,3,2,1,5,5,2,9,1
145,1,1,2,2,2,5,8,5,2,1
146,1,1,2,2,1,5,7,5,2,1
147,1,1,2,2,1,5,8,5,2,1
148,1,1,2,3,3,8,5,5,2,1
149,1,1,2,3,2,8,5,5,2,1
150,1,1,2,2,2,3,5,1,2,1
151,1,1,1,3,3,8,6,7,2,1
152,1,1,1,3,2,8,6,5,2,1
153,1,1,1,3,2,8,7,5,2,1
154,1,1,1,3,2,8,7,5,2,1
155,1,1,5,3,3,6,6,4,7,1
156,1,1,5,3,4,3,2,4,7,1
157,1,1,5,3,3,3,2,4,7,1
158,1,3,5,3,2,5,6,4,6,1
159,1,1,1,3,1,7,6,5,2,1
160,1,1,1,3,1,8,5,5,2,1
161,1,1,1,3,1,5,7,2,2,1
162,1,1,1,3,1,4,7,2,2,1
163,1,1,1,3,2,4,6,1,2,1
164,1,1,1,3,2,4,6,3,9,1
165,1,1,1,3,2,4,7,4,2,1
166,1,1,4,3,2,6,2,4,2,1
167,1,1,4,3,3,4,7,5,3,1
168,1,1,4,3,2,5,6,4,2,1
169,1,1,4,3,2,4,3,5,5,1
170,1,1,3,3,2,4,5,5,5,1
171,1,1,3,3,1,5,6,4,6,1
172,1,1,2,3,2,2,7,5,6,1
173,1,1,5,2,2,5,4,5,6,1
174,1,1,5,2,2,4,4,5,6,1
175,1,1,5,3,1,2,7,4,5,1
176,1,1,5,2,1,6,4,5,2,1
177,1,1,1,3,2,2,7,5,2,1
178,1,2,1,2,1,4,7,5,3,1
179,5,1,5,3,4,4,5,4,2,1
180,5,1,5,3,5,4,5,4,2,1
181,1,1,1,4,5,7,7,4,2,1
182,1,2,1,2,4,8,6,5,3,1
183,1,1,5,3,3,3,2,4,7,1
184,4,1,5,4,5,6,8,4,7,0
185,4,3,5,4,5,4,7,4,6,0
186,5,4,5,4,4,5,6,4,6,0
187,3,1,5,4,3,5,4,4,9,0
188,2,2,5,4,5,6,7,4,2,0
189,4,4,5,4,4,5,5,4,6,0
190,4,2,5,4,5,6,8,4,2,0
191,5,3,5,4,3,2,9,4,2,0
192,5,1,5,4,3,3,9,4,2,0
193,5,1,5,4,5,5,2,4,2,0
194,5,1,5,4,5,6,7,4,2,0
195,5,1,4,4,3,4,8,4,2,0
196,3,2,5,4,5,3,8,2,2,0
197,3,1,5,4,5,2,6,4,2,0
198,2,5,5,4,5,3,7,4,6,0
199,3,2,5,4,5,4,5,1,6,0
200,2,2,5,4,5,2,4,4,6,0
201,3,1,3,4,2,1,1,3,9,0
202,2,4,5,4,2,1,5,7,6,0
203,5,1,5,4,4,3,8,4,6,0
204,5,1,5,4,4,3,2,4,6,0
205,5,1,5,4,4,5,9,4,6,0
206,5,1,5,4,4,2,7,4,6,0
207,5,1,5,4,3,5,4,4,2,0
208,5,1,5,4,4,4,4,4,6,0
209,5,1,5,4,5,4,6,4,2,0
210,3,2,5,4,3,2,9,4,2,0
211,3,1,5,2,4,4,3,4,7,0
212,2,1,5,2,3,5,2,4,7,0
213,4,1,5,2,2,1,1,3,1,0
