FID,daolu,duanlie,jianghe,jiangshui,ndvi,podu,poxiang,tudi,yantu,landslide
0,4,1,5,4,3,2,9,4,2,0
1,4,2,5,4,5,5,4,4,7,0
2,4,5,5,4,4,2,3,4,7,0
3,3,2,5,4,5,4,8,4,7,0
4,4,2,5,4,5,5,8,4,2,0
5,4,2,5,4,5,6,8,4,2,0
6,4,2,5,4,5,5,4,4,2,0
7,4,2,5,4,5,5,9,4,6,0
8,4,2,5,4,5,4,3,4,6,0
9,5,1,5,4,5,5,2,4,2,0
10,5,1,5,4,5,4,2,4,2,0
11,3,1,5,4,5,2,8,4,2,0
12,5,1,5,4,4,3,2,4,6,0
13,5,1,5,4,5,3,2,4,6,0
14,5,1,5,4,5,4,9,4,6,0
15,5,1,5,4,5,5,2,4,6,0
16,5,1,5,4,5,3,2,4,2,0
17,5,2,5,4,5,3,3,4,6,0
18,4,1,3,2,2,1,1,3,9,0
19,4,1,5,2,5,5,5,4,1,0
20,4,2,5,4,3,2,8,4,2,0
21,4,1,5,4,3,2,9,4,2,0
22,4,4,5,3,3,2,2,4,2,0
23,5,1,5,4,4,4,3,4,7,0
24,5,2,5,4,5,4,3,4,7,0
25,5,1,5,4,4,3,9,4,2,0
26,5,1,5,4,4,3,9,4,2,0
27,5,1,5,4,5,6,3,4,2,0
28,5,3,5,4,5,4,2,4,7,0
29,5,2,5,4,4,3,9,4,2,0
30,5,2,5,4,3,4,2,3,1,0
31,5,1,5,4,5,4,9,4,2,0
32,5,1,5,4,5,3,8,4,2,0
33,5,1,5,4,5,2,8,4,2,0
34,5,1,5,4,5,3,2,4,2,0
35,5,1,5,4,5,2,9,4,2,0
36,5,1,5,4,5,2,7,4,2,0
37,5,2,5,4,5,3,3,4,7,0
38,5,2,5,4,5,4,5,4,7,0
39,5,2,5,4,5,3,5,4,7,0
40,5,1,5,4,3,2,9,4,2,0
41,5,1,5,2,2,1,1,1,1,0
42,3,2,5,2,2,1,1,1,1,0
43,2,1,5,2,5,1,1,2,1,0
44,5,5,5,4,4,3,3,4,7,0
45,5,1,5,4,5,4,2,4,6,0
46,5,1,5,4,5,2,5,4,6,0
47,5,1,5,4,5,2,4,4,6,0
48,5,1,5,4,5,4,2,4,6,0
49,5,1,5,4,5,5,9,4,7,0
50,5,2,5,4,5,5,4,4,7,0
51,5,5,5,4,4,1,3,4,6,0
52,5,3,5,4,5,2,4,4,7,0
53,5,3,5,4,5,4,8,4,7,0
54,5,3,5,4,5,3,8,4,6,0
55,5,5,5,4,5,2,6,4,7,0
56,5,3,5,4,5,4,9,4,7,0
57,5,2,5,4,5,5,8,4,7,0
58,5,2,5,4,4,4,9,4,6,0
59,5,2,5,4,4,4,2,4,6,0
60,5,3,5,4,3,4,3,4,1,0
61,5,1,5,4,4,3,3,4,2,0
62,5,1,5,4,5,3,2,4,2,0
63,5,1,5,4,5,2,7,4,2,0
64,5,1,5,4,5,2,4,4,6,0
65,5,2,5,4,5,4,4,4,6,0
66,5,2,5,4,5,3,4,4,6,0
67,5,2,5,4,4,2,7,4,6,0
68,5,2,5,4,5,5,2,4,7,0
69,5,2,5,4,4,4,9,4,2,0
70,5,2,5,4,4,4,2,4,2,0
71,5,2,5,2,5,4,8,4,6,0
72,5,1,5,4,5,4,2,4,6,0
73,5,1,5,4,5,5,8,4,6,0
74,5,1,5,4,5,2,6,4,9,0
75,5,1,5,4,5,3,4,4,2,0
76,5,2,5,2,4,4,9,4,2,0
77,5,1,5,4,5,3,2,4,6,0
78,5,1,5,4,4,2,8,4,6,0
79,5,1,5,2,5,2,8,3,3,0
80,5,1,5,2,3,2,3,3,3,0
81,5,1,5,2,5,3,9,4,7,0
82,4,1,5,3,5,2,5,4,2,0
83,5,3,5,2,3,2,9,4,7,0
84,4,1,5,3,5,3,8,4,2,0
85,4,2,5,2,2,1,1,3,9,0
86,3,3,5,2,2,1,1,3,9,0
87,4,1,3,2,4,2,2,4,7,0
88,5,2,5,3,4,3,9,4,2,0
89,5,2,5,3,4,3,3,4,2,0
90,5,1,5,3,3,2,9,4,2,0
91,5,1,5,3,4,3,2,4,2,0
92,4,1,5,2,4,3,9,4,6,0
93,5,2,5,2,5,5,4,4,7,0
94,5,2,5,2,2,1,2,3,6,0
95,5,2,5,2,3,3,9,3,2,0
96,5,1,5,2,5,3,2,4,2,0
97,5,1,5,2,3,2,3,4,7,0
98,5,1,5,2,4,2,9,4,7,0
99,5,1,5,2,4,3,3,4,2,0
100,5,1,5,2,4,1,2,4,2,0
101,5,1,5,2,5,3,3,4,2,0
102,5,1,5,2,5,2,6,4,2,0
103,4,1,5,3,2,1,9,3,9,0
104,4,1,5,3,5,2,9,4,7,0
105,5,4,5,3,3,2,3,4,9,0
106,5,4,5,3,5,6,9,4,2,0
107,5,1,5,3,5,4,9,4,7,0
108,5,1,5,3,5,4,3,4,7,0
109,5,1,5,3,4,4,2,4,7,0
110,5,1,5,3,5,3,9,4,7,0
111,5,1,5,3,3,1,9,4,7,0
112,5,1,5,3,5,4,8,4,7,0
113,5,1,5,3,5,6,2,4,2,0
114,5,3,5,2,2,2,2,3,9,0
115,5,2,5,3,3,2,4,4,2,0
116,5,2,5,2,4,3,3,4,9,0
117,5,4,5,3,3,2,2,4,1,0
118,5,3,5,3,4,4,9,4,7,0
119,5,3,5,3,2,2,4,3,1,0
120,5,1,5,3,5,4,4,4,7,0
121,5,1,5,3,4,2,5,4,7,0
122,5,2,5,3,5,3,8,4,7,0
123,5,2,5,3,5,2,8,4,7,0
124,5,2,5,3,5,2,8,4,7,0
125,5,2,5,3,4,4,2,4,2,0
126,5,2,5,3,5,6,9,4,7,0
127,5,2,5,3,3,2,3,4,7,0
128,5,2,5,3,4,4,9,4,2,0
129,5,2,5,3,5,3,7,4,7,0
130,5,2,5,3,5,3,6,4,7,0
131,5,2,5,3,5,3,3,4,7,0
132,5,2,5,3,5,3,5,4,2,0
133,5,2,5,3,3,3,9,4,2,0
134,5,2,5,3,3,2,4,4,7,0
135,5,2,5,3,3,2,4,4,7,0
136,5,2,5,3,4,4,3,4,1,0
137,5,2,5,3,4,1,9,4,2,0
138,5,2,5,3,3,1,4,4,2,0
139,5,2,5,3,2,2,9,3,2,0
140,5,1,5,2,3,2,9,4,6,0
141,5,1,5,2,5,5,3,4,2,0
142,5,1,5,2,4,2,9,4,5,0
143,5,1,5,3,5,4,3,4,3,0
144,5,1,5,3,4,1,3,4,7,0
145,5,1,5,3,5,3,7,4,7,0
146,5,1,5,3,3,2,3,4,2,0
147,5,1,5,3,5,2,2,4,2,0
148,5,1,5,3,5,2,6,4,2,0
149,5,1,5,3,5,2,6,4,2,0
150,5,1,5,3,2,2,3,3,3,0
151,5,4,5,3,5,3,9,4,2,0
152,5,3,5,3,5,5,9,4,9,0
153,5,2,5,3,3,2,2,4,9,0
154,5,2,5,3,4,2,9,4,5,0
155,5,2,5,3,5,6,9,4,2,0
156,5,2,5,3,5,2,8,7,5,0
157,5,1,5,3,2,2,2,3,9,0
158,5,1,5,3,5,2,5,4,2,0
159,1,1,5,2,2,1,1,3,1,0
160,1,1,5,4,2,1,1,3,1,0
161,5,3,5,3,4,2,9,4,3,0
162,5,3,5,3,5,2,9,4,3,0
163,5,3,5,3,5,2,3,4,3,0
164,5,3,5,3,2,2,9,3,3,0
165,5,2,5,3,3,3,3,4,2,0
166,5,2,5,3,4,3,8,4,2,0
167,5,1,5,3,5,3,9,4,2,0
168,5,2,5,3,4,2,5,4,9,0
169,5,2,5,3,4,1,8,4,3,0
170,5,2,5,3,3,3,2,4,2,0
171,5,2,5,3,5,1,4,4,3,0
172,5,2,5,3,5,3,4,4,2,0
173,5,2,5,3,5,4,3,4,2,0
174,5,2,5,3,4,2,2,4,2,0
175,5,1,5,3,4,2,2,4,3,0
176,5,1,5,3,4,2,4,4,2,0
177,5,1,5,3,4,3,3,4,2,0
178,5,1,5,3,5,3,3,4,3,0
